Ingles,Espanhol,Portugues
climate Change,cambio Climatico,mudança Climática
climatic Change,Cambios Climaticos,mudanças Climáticas
environmental change,cambio ambiental,mudança ambiental
global environmental change,cambio ambiental global,mudança ambiental global
Sustainable development,desarrollo sostenible,desenvolvimento sustentável
global warming,calentamiento global,aquecimento global
climate policy,política climática,política climática
Kyoto protocol,Protocolo de Kyoto,Protocolo de Quioto
Co2 emission,emisiones de CO2,emissão de Co2
greenhouse gas,gases de efecto invernadero,gás de efeito estufa
sustainab,sostenible,sustent
,sustentable,
enviromen,medio ambiente,medio ambiente
,ambiental,ambiental
vulnerability,vulnerabilidad,vulnerabilidade
adapt,adapt,adapt
resilience,resistencia,resiliência
,elasticitad,
biodiversity,biodiversidad,biodiversidade
ecosystem,ecosistema,ecossistema
natural resource,recursos naturales,recursos naturais
energy,energia,energia
water resource,recursos hídricos, recursos hídricos
water quality,calidad del agua,qualidade da água
pollution,polución,poluição
,contaminación,
toxic,tóxico,tóxico
enviromental quality,calidad ambiental,qualidade ambiental
